1,7,0,0,0,1
2,7,0,0,0,1
3,2,1,0,0,0
4,2,1,0,0,0
5,7,0,0,1,0
5,7,0,0,1,0
3,6,0,0,1,0
4,2,1,0,0,0
5,7,0,0,0,1
6,7,0,0,1,0
7,3,1,0,0,0
10,7,0,0,0,1
11,2,1,0,0,0
12,3,1,0,0,0
13,7,0,0,1,0
14,6,0,0,1,0
15,7,0,0,0,1
2,3,1,0,0,0
3,7,0,0,1,0
4,6,0,0,1,0
5,2,0,1,0,0
6,6,0,0,1,0
7,7,0,0,1,0
8,3,0,1,0,0
9,7,0,0,0,1
10,6,0,0,1,0
11,3,0,1,0,0
12,2,1,0,0,0
13,7,0,0,1,0
14,7,0,0,0,1
15,3,1,0,0,0
16,2,0,1,0,0
17,7,0,0,0,1
18,6,0,0,1,0
19,3,1,0,0,0
20,3,1,0,0,0
21,6,0,0,1,0
22,2,1,0,0,0
2,3,1,0,0,0
23,7,0,0,1,0
24,7,0,0,1,0
23,7,0,0,1,0
23,7,0,0,1,0
23,7,0,0,1,0
23,7,0,0,0,1
23,7,0,0,0,1
23,7,0,0,0,1
23,7,0,0,1,0
2,3,0,1,0,0
23,7,0,0,1,0
23,7,0,0,1,0
23,7,0,0,1,0
24,7,0,0,0,1
23,7,0,0,1,0
23,7,0,0,1,0
3,7,0,0,0,1
23,7,0,0,0,1
23,7,0,0,1,0
23,7,0,0,1,0
23,7,0,0,0,1
23,7,0,0,0,1
10,6,0,0,0,1
23,7,0,0,0,1
24,7,0,0,1,0
25,3,1,0,0,0
26,3,1,0,0,0
27,2,0,1,0,0
29,6,0,0,1,0
30,6,0,0,1,0
31,3,0,1,0,0
32,3,0,1,0,0
33,7,0,0,0,1
34,6,0,0,0,1
